step,epoch,loss,f1,loss,precision,recall
15000,58.36575875486381,0.06319691240787506,0.8582151793160967,0.06319691240787506,0.9058098591549296,0.8153724247226625
15050,58.56031128404669,0.0008,,0.0008,,
15100,58.75486381322957,0.06376711279153824,0.858455114822547,0.06376711279153824,0.9073256840247131,0.8145800316957211
15150,58.94941634241245,0.0007,,0.0007,,
15200,59.143968871595334,0.0675988644361496,0.8610763454317898,0.0675988644361496,0.9092511013215859,0.8177496038034865
15250,59.33852140077821,0.0005,,0.0005,,
15300,59.53307392996109,0.06851760298013687,0.860770207363521,0.06851760298013687,0.9237057220708447,0.805863708399366
15350,59.72762645914397,0.0006,,0.0006,,
15400,59.92217898832685,0.06995238363742828,0.8659359190556492,0.06995238363742828,0.9252252252252252,0.8137876386687797
15450,60.11673151750973,0.0006,,0.0006,,
15500,60.311284046692606,0.071140356361866,0.861344537815126,0.071140356361866,0.9168157423971377,0.812202852614897
15550,60.505836575875485,0.0009,,0.0009,,
15600,60.70038910505836,0.06939885020256042,0.8557130942452043,0.06939885020256042,0.903169014084507,0.8129952456418383
15650,60.89494163424124,0.0007,,0.0007,,
15700,61.08949416342413,0.05999019742012024,0.8677792041078306,0.05999019742012024,0.9432558139534883,0.803486529318542
15750,61.284046692607006,0.0006,,0.0006,,
15800,61.478599221789885,0.0721839964389801,0.8644997889404813,0.0721839964389801,0.9250225835591689,0.8114104595879557
15850,61.673151750972764,0.0005,,0.0005,,
15900,61.86770428015564,0.07488182187080383,0.8642495784148397,0.07488182187080383,0.9234234234234234,0.812202852614897
15950,62.06225680933852,0.0008,,0.0008,,
16000,62.2568093385214,0.0712769627571106,0.866355536699194,0.0712769627571106,0.9324200913242009,0.8090332805071315
16050,62.45136186770428,0.0008,,0.0008,,
16100,62.64591439688716,0.07297154515981674,0.8612279226240539,0.07297154515981674,0.9175627240143369,0.8114104595879557
16150,62.840466926070036,0.0005,,0.0005,,
16200,63.03501945525292,0.07176350802183151,0.8626790227464195,0.07176350802183151,0.920863309352518,0.8114104595879557
16250,63.2295719844358,0.0013,,0.0013,,
16300,63.42412451361868,0.06618023663759232,0.8469135802469137,0.06618023663759232,0.8809931506849316,0.8153724247226625
16350,63.61867704280156,0.0008,,0.0008,,
16400,63.81322957198444,0.06909289211034775,0.8751069289991446,0.06909289211034775,0.9507434944237918,0.8106180665610143
16450,64.00778210116732,0.0006,,0.0006,,
16500,64.2023346303502,0.0712454617023468,0.8589420654911838,0.0712454617023468,0.9133928571428571,0.8106180665610143
16550,64.39688715953308,0.0004,,0.0004,,
16600,64.59143968871595,0.06616515666246414,0.8569037656903766,0.06616515666246414,0.9078014184397163,0.8114104595879557
16650,64.78599221789884,0.0009,,0.0009,,
16700,64.98054474708171,0.06253247708082199,0.8603584827011255,0.06253247708082199,0.9076517150395779,0.8177496038034865
16750,65.1750972762646,0.0007,,0.0007,,
16800,65.36964980544747,0.07253489643335342,0.8587002096436059,0.07253489643335342,0.9118432769367765,0.8114104595879557
16850,65.56420233463035,0.0004,,0.0004,,
16900,65.75875486381322,0.07459376007318497,0.8655959425190194,0.07459376007318497,0.927536231884058,0.8114104595879557
16950,65.95330739299611,0.0009,,0.0009,,
17000,66.147859922179,0.07267727702856064,0.8676844783715013,0.07267727702856064,0.9333941605839416,0.8106180665610143
17050,66.34241245136187,0.0006,,0.0006,,
17100,66.53696498054475,0.07926011085510254,0.8617065994115174,0.07926011085510254,0.9176365264100269,0.812202852614897
17150,66.73151750972762,0.0006,,0.0006,,
17200,66.92607003891051,0.07605772465467453,0.8690122933446375,0.07605772465467453,0.9343664539653601,0.812202852614897
17250,67.12062256809338,0.0004,,0.0004,,
17300,67.31517509727627,0.0723731517791748,0.8604943443653121,0.0723731517791748,0.9128888888888889,0.8137876386687797
17350,67.50972762645914,0.0006,,0.0006,,
17400,67.70428015564202,0.07205194234848022,0.8658484976724502,0.07205194234848022,0.9291553133514986,0.8106180665610143
17450,67.8988326848249,0.0007,,0.0007,,
17500,68.09338521400778,0.0696522444486618,0.859538784067086,0.0696522444486618,0.9127337488869101,0.812202852614897
17550,68.28793774319067,0.0006,,0.0006,,
